offer_id	first_day_exposition	last_day_exposition	last_price	floor	open_plan	rooms	studio	area	kitchen_area	living_area	agent_fee	renovation	offer_type	category_type	unified_address	building_id
939505440082870273	2014-11-27T00:00:00+03:00	2018-08-20T00:00:00+03:00	5900000.0	10	False	1	False	42.0	11.5	16.3			1	2	Россия, Санкт-Петербург, улица Беринга, 23к2	3768803970881659493
9174606537145007278	2018-08-04T00:00:00+03:00	2018-08-20T00:00:00+03:00	6200000.0	1	False	4	False	75.7	6.3	57.4			1	2	Россия, Санкт-Петербург, Сиреневый бульвар, 22/26	2497593527914349140
6276742484652094641	2017-08-03T00:00:00+03:00	2017-09-02T00:00:00+03:00	23000.0	16	False	1	False	35.0	10.0	17.0		0.0	2	2	Россия, Санкт-Петербург, проспект Просвещения, 35	6354249340138182825
4734880820932199169	2014-12-04T00:00:00+03:00	2018-06-10T00:00:00+03:00	3600000.0	2	False	1	False	33.0	6.3	19.0		11.0	1	2	Россия, Санкт-Петербург, Серебристый бульвар, 26	9105612720122765654
6526153890652659713	2017-01-01T00:00:00+03:00	2017-04-18T00:00:00+03:00	9101707.0	5	False	2	False	87.35	16.96	40.11		0.0	1	2	Россия, Санкт-Петербург, Московский проспект, 183-185Б	2589121538591859519
7521881594612543621	2017-06-08T00:00:00+03:00	2018-03-27T00:00:00+03:00	20000.0	7	False	1	False	34.0	7.0	17.0	50.0		2	2	Россия, Санкт-Петербург, улица Турку, 5	4146658481996814559
6302977522902553692	2016-09-13T00:00:00+03:00	2016-11-07T00:00:00+03:00	50000.0	3	False	3	False	100.0	10.0	69.0		0.0	2	2	Россия, Санкт-Петербург, улица Союза Печатников, 8	1822516418751713048
5753096980659559169	2018-08-15T00:00:00+03:00	2018-08-20T00:00:00+03:00	5500000.0	9	False	3	False	52.0	6.8	35.2			1	2	Россия, Санкт-Петербург, улица Шотмана, 18	4737437119445658328
4724649670292997888	2016-09-25T00:00:00+03:00	2018-08-20T00:00:00+03:00	10403000.0	1	False	4	False	180.0	20.0	82.0		1.0	1	2	Россия, Санкт-Петербург, Сестрорецк, улица Николая Соколова, 36	1977565170816603412
2191548731889701806	2017-09-15T00:00:00+03:00	2017-09-15T00:00:00+03:00	20000.0	3	False	1	False	32.0	5.0	18.0		0.0	2	2	Россия, Санкт-Петербург, Московский проспект, 205	4373184457909325818
3375339906885278893	2017-02-25T00:00:00+03:00	2017-02-26T00:00:00+03:00	23000.0	8	False	1	False	45.0	11.0	20.0	100.0	0.0	2	2	Россия, Санкт-Петербург, улица Вавиловых, 7к4	7829185807584378462
4250677432686955009	2018-02-22T00:00:00+03:00	2018-04-06T00:00:00+03:00	5990000.0	1	False	3	False	91.0	9.4	57.5		2.0	1	2	Россия, Санкт-Петербург, Бумажная улица, 22к2	6443337066981991570
6856101931102505728	2017-11-08T00:00:00+03:00	2017-12-01T00:00:00+03:00	6500000.0	1	False	1	False	52.0	9.0	21.0			1	2	Россия, Санкт-Петербург, набережная реки Фонтанки, 119	5091220263802455788
6082595187889684288	2018-06-30T00:00:00+03:00	2018-08-02T00:00:00+03:00	42000.0	8	False	1	False	46.0	15.0	25.0	50.0		2	2	Россия, Санкт-Петербург, Малоохтинский проспект, 90	7096124569630401658
6299591463004217879	2017-02-26T00:00:00+03:00	2017-02-27T00:00:00+03:00	21000.0	5	False	2	False	58.0	10.0	31.0	100.0	0.0	2	2	Россия, Санкт-Петербург, территория Сергиево, Красносельское шоссе, 48	861808296791486078
8522294711437457664	2018-02-16T00:00:00+03:00	2018-03-18T00:00:00+03:00	33000.0	2	False	0	True	24.0			30.0		2	2	Россия, Санкт-Петербург, Малая Конюшенная улица, 1-3	7768258932184272402
